type,title,year,season,episode,watched_date,rating,tmdb_id,imdb_id
show,Breaking Bad,2008,1,1,2024-01-15T20:30:00Z,5,1396,tt0903747
show,Breaking Bad,2008,1,2,2024-01-16T21:00:00Z,5,1396,tt0903747
show,Breaking Bad,2008,1,3,2024-01-17T19:45:00Z,4,1396,tt0903747
show,Game of Thrones,2011,1,1,2024-02-01T22:00:00Z,5,1399,tt0944947
show,Game of Thrones,2011,1,2,2024-02-02T22:00:00Z,5,1399,tt0944947
show,Game of Thrones,2011,1,3,2024-02-03T22:00:00Z,4,1399,tt0944947
show,The Office,2005,1,1,2024-03-10T18:30:00Z,5,2316,tt0386676
show,The Office,2005,1,2,2024-03-10T19:00:00Z,5,2316,tt0386676
movie,The Shawshank Redemption,1994,,,2024-04-05T21:00:00Z,5,278,tt0111161
movie,The Godfather,1972,,,2024-04-12T20:30:00Z,5,238,tt0068646
movie,The Dark Knight,2008,,,2024-05-01T22:00:00Z,5,155,tt0468569
show,Stranger Things,2016,1,1,2024-06-15T20:00:00Z,4,66732,tt4574334
show,Stranger Things,2016,1,2,2024-06-15T21:00:00Z,4,66732,tt4574334
show,Stranger Things,2016,1,3,2024-06-16T20:00:00Z,5,66732,tt4574334
movie,Inception,2010,,,2024-07-20T21:30:00Z,5,27205,tt1375666
movie,Interstellar,2014,,,2024-08-03T20:00:00Z,5,157336,tt0816692
show,The Mandalorian,2019,1,1,2024-08-15T19:00:00Z,4,82856,tt8111088
show,The Mandalorian,2019,1,2,2024-08-15T20:00:00Z,4,82856,tt8111088
show,The Mandalorian,2019,1,3,2024-08-16T19:00:00Z,5,82856,tt8111088
movie,Parasite,2019,,,2024-09-01T21:00:00Z,5,496243,tt6751668
